time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-06-14T23:52:42.082Z,24.7959,123.2018,10,4.1,mb,,149,0.37,0.47,us,us6000aew6,2020-06-20T01:51:39.040Z,"41km NNE of Yonakuni, Japan",earthquake,5.3,1.9,0.235,5,reviewed,us,us
2020-06-14T22:52:49.059Z,38.1985,-117.9325,4.2,2.5,ml,26,49.93,0.041,0.2456,nn,nn00748598,2020-07-24T00:03:51.040Z,"63km WNW of Tonopah, Nevada",earthquake,,1.6,0.4,8,reviewed,nn,nn
2020-06-14T22:42:57.810Z,17.9665,-66.9666,7,2.52,md,12,189,0.0777,0.15,pr,pr2020166021,2020-06-14T23:08:37.817Z,"5km WSW of Fuig, Puerto Rico",earthquake,0.53,0.31,0.29,10,reviewed,pr,pr
2020-06-14T22:40:36.458Z,39.4057,40.7696,10,4.5,mb,,82,0.646,0.92,us,us6000aew8,2020-06-23T00:58:43.040Z,"19km E of Yedisu, Turkey",earthquake,5,1.9,0.204,7,reviewed,us,us
2020-06-14T22:29:57.959Z,7.6562,121.7359,10,4.9,mww,,66,3.856,0.9,us,us6000abue,2020-07-23T23:57:42.040Z,"44 km W of Siocon, Philippines",earthquake,6.5,1.8,0.098,10,reviewed,us,us
2020-06-14T22:26:10.802Z,24.8493,123.2267,10,4.7,mwr,,66,0.427,0.5,us,us6000abu9,2020-06-22T23:24:38.040Z,"48km NNE of Yonakuni, Japan",earthquake,5.7,1.8,0.071,19,reviewed,us,us
2020-06-14T22:14:43.957Z,-57.4395,-147.6881,10,4.7,mb,,100,25.538,0.62,us,us6000aew3,2020-06-23T00:45:23.040Z,"Pacific-Antarctic Ridge",earthquake,14.6,1.9,0.123,20,reviewed,us,us
2020-06-14T21:23:19.165Z,49.1277,158.1032,10,5.2,mww,,80,3.916,0.66,us,us6000abte,2020-07-23T23:56:40.040Z,"223 km SE of Severo-Kuril’sk, Russia",earthquake,8.4,1.8,0.068,21,reviewed,us,us
2020-06-14T21:22:17.890Z,17.9168,-66.9416,13,3.09,md,23,223,0.0854,0.13,pr,pr2020166020,2020-07-23T23:55:38.040Z,"7km SSW of Guanica, Puerto Rico",earthquake,0.64,0.34,0.31,19,reviewed,pr,pr
2020-06-14T21:08:28.108Z,24.8565,123.2064,10,4.6,mb,,63,0.426,0.46,us,us6000aew0,2020-06-22T23:43:50.040Z,"47km NNE of Yonakuni, Japan",earthquake,2.5,1.9,0.119,21,reviewed,us,us
2020-06-14T19:26:20.026Z,24.9047,123.2597,10,5.1,mww,,73,0.49,1.08,us,us6000abry,2020-07-25T17:24:55.040Z,"55 km NNE of Yonakuni, Japan",earthquake,5.5,1.9,0.073,18,reviewed,us,us
2020-06-14T19:25:53.731Z,24.862,123.23,10,4.3,mb,,103,0.44,0.99,us,us6000aew4,2020-07-12T12:49:34.040Z,"49 km NNE of Yonakuni, Japan",earthquake,5.2,1.9,0.16,11,reviewed,us,us
2020-06-14T19:06:59.460Z,19.1258,-67.558,7,3.82,md,24,203,0.7455,0.61,pr,pr2020166019,2020-07-11T21:18:02.040Z,"87km NW of San Antonio, Puerto Rico",earthquake,2.4,31.61,0.14,16,reviewed,pr,pr
2020-06-14T18:37:42.405Z,24.8163,123.2288,10,4.6,mb,,85,0.4,0.43,us,us6000abrd,2020-07-11T21:16:51.040Z,"45 km NNE of Yonakuni, Japan",earthquake,5.1,1.9,0.116,22,reviewed,us,us
2020-06-14T18:15:11.283Z,24.8725,123.1948,10,4.8,mb,,95,0.436,0.73,us,us6000abr4,2020-07-11T21:01:55.040Z,"southwestern Ryukyu Islands, Japan",earthquake,5.1,1.9,0.06,87,reviewed,us,us
